community_area,year,primary_type,count
1,2016,DECEPTIVE PRACTICE,260
1,2016,HOMICIDE,5
1,2016,INTERFERENCE WITH PUBLIC OFFICER,12
1,2016,INTIMIDATION,1
1,2016,KIDNAPPING,1
1,2016,LIQUOR LAW VIOLATION,5
1,2016,MOTOR VEHICLE THEFT,112
1,2016,NARCOTICS,91
1,2016,OBSCENITY,2
1,2016,OFFENSE INVOLVING CHILDREN,34
1,2016,OTHER OFFENSE,234
1,2016,PROSTITUTION,15
1,2016,PUBLIC INDECENCY,1
1,2016,PUBLIC PEACE VIOLATION,16
1,2016,ROBBERY,159
1,2016,SEX OFFENSE,24
1,2016,STALKING,4
1,2016,THEFT,915
1,2016,WEAPONS VIOLATION,34
1,2017,ARSON,1
1,2017,ASSAULT,268
1,2017,BATTERY,703
1,2017,BURGLARY,182
1,2017,CRIM SEXUAL ASSAULT,33
1,2017,CRIMINAL DAMAGE,586
1,2017,CRIMINAL TRESPASS,179
1,2017,DECEPTIVE PRACTICE,270
1,2017,HOMICIDE,4
1,2017,INTERFERENCE WITH PUBLIC OFFICER,15
1,2017,INTIMIDATION,2
1,2017,KIDNAPPING,2
1,2017,LIQUOR LAW VIOLATION,2
1,2017,MOTOR VEHICLE THEFT,122
1,2017,NARCOTICS,68
1,2017,OBSCENITY,1
1,2017,OFFENSE INVOLVING CHILDREN,25
1,2017,OTHER NARCOTIC VIOLATION,1
1,2017,OTHER OFFENSE,221
1,2017,PROSTITUTION,3
1,2017,PUBLIC PEACE VIOLATION,15
1,2017,ROBBERY,168
1,2017,SEX OFFENSE,28
1,2017,STALKING,1
1,2017,THEFT,1212
1,2017,WEAPONS VIOLATION,36
1,2018,ARSON,3
1,2018,ASSAULT,283
1,2018,BATTERY,731
1,2018,BURGLARY,174
1,2018,CRIM SEXUAL ASSAULT,24
1,2018,CRIMINAL DAMAGE,470
1,2018,CRIMINAL TRESPASS,156
1,2018,DECEPTIVE PRACTICE,226
1,2018,HOMICIDE,6
1,2018,INTERFERENCE WITH PUBLIC OFFICER,15
1,2018,INTIMIDATION,1
1,2018,KIDNAPPING,1
1,2018,MOTOR VEHICLE THEFT,103
1,2018,NARCOTICS,63
1,2018,NON-CRIMINAL,1
1,2018,OBSCENITY,1
1,2018,OFFENSE INVOLVING CHILDREN,28
1,2018,OTHER OFFENSE,211
1,2018,PUBLIC PEACE VIOLATION,17
1,2018,ROBBERY,144
1,2018,SEX OFFENSE,40
1,2018,STALKING,3
1,2018,THEFT,1072
1,2018,WEAPONS VIOLATION,29
2,2010,ARSON,10
2,2010,ASSAULT,268
2,2010,BATTERY,733
2,2010,BURGLARY,446
2,2010,CRIM SEXUAL ASSAULT,20
2,2010,CRIMINAL DAMAGE,761
2,2010,CRIMINAL TRESPASS,98
2,2010,DECEPTIVE PRACTICE,157
2,2010,HOMICIDE,1
2,2010,INTERFERENCE WITH PUBLIC OFFICER,15
2,2010,INTIMIDATION,2
2,2010,KIDNAPPING,2
2,2010,LIQUOR LAW VIOLATION,12
2,2010,MOTOR VEHICLE THEFT,258
2,2010,NARCOTICS,331
2,2010,OBSCENITY,1
2,2010,OFFENSE INVOLVING CHILDREN,36
2,2010,OTHER OFFENSE,347
2,2010,PROSTITUTION,6
2,2010,PUBLIC PEACE VIOLATION,31
2,2010,ROBBERY,186
2,2010,SEX OFFENSE,16
2,2010,STALKING,6
2,2010,THEFT,1118
2,2010,WEAPONS VIOLATION,26
2,2011,ARSON,9
2,2011,ASSAULT,204
2,2011,BATTERY,686
2,2011,BURGLARY,433
2,2011,CRIM SEXUAL ASSAULT,23
2,2011,CRIMINAL DAMAGE,626
2,2011,CRIMINAL TRESPASS,93
2,2011,DECEPTIVE PRACTICE,193
2,2011,INTERFERENCE WITH PUBLIC OFFICER,16
2,2011,INTIMIDATION,2
2,2011,KIDNAPPING,3
2,2011,LIQUOR LAW VIOLATION,11
2,2011,MOTOR VEHICLE THEFT,236
2,2011,NARCOTICS,278
2,2011,OBSCENITY,2
2,2011,OFFENSE INVOLVING CHILDREN,28
2,2011,OTHER OFFENSE,305
2,2011,PROSTITUTION,2
2,2011,PUBLIC PEACE VIOLATION,33
2,2011,ROBBERY,140
2,2011,SEX OFFENSE,22
2,2011,STALKING,1
2,2011,THEFT,1045
2,2011,WEAPONS VIOLATION,33
2,2012,ARSON,4
2,2012,ASSAULT,254
2,2012,BATTERY,658
2,2012,BURGLARY,348
2,2012,CRIM SEXUAL ASSAULT,16
2,2012,CRIMINAL DAMAGE,544
2,2012,CRIMINAL TRESPASS,68
2,2012,DECEPTIVE PRACTICE,172
2,2012,GAMBLING,3
2,2012,HOMICIDE,6
2,2012,INTERFERENCE WITH PUBLIC OFFICER,14
2,2012,INTIMIDATION,2
2,2012,KIDNAPPING,5
2,2012,LIQUOR LAW VIOLATION,7
2,2012,MOTOR VEHICLE THEFT,201
2,2012,NARCOTICS,230
2,2012,NON-CRIMINAL (SUBJECT SPECIFIED),1
2,2012,OBSCENITY,1
2,2012,OFFENSE INVOLVING CHILDREN,35
2,2012,OTHER OFFENSE,266
2,2012,PROSTITUTION,13
2,2012,PUBLIC PEACE VIOLATION,26
2,2012,ROBBERY,142
2,2012,SEX OFFENSE,14
2,2012,STALKING,5
2,2012,THEFT,978
2,2012,WEAPONS VIOLATION,18
2,2013,ARSON,2
2,2013,ASSAULT,227
2,2013,BATTERY,670
2,2013,BURGLARY,260
2,2013,CRIM SEXUAL ASSAULT,13
2,2013,CRIMINAL DAMAGE,494
2,2013,CRIMINAL TRESPASS,92
2,2013,DECEPTIVE PRACTICE,176
2,2013,HOMICIDE,1
2,2013,INTERFERENCE WITH PUBLIC OFFICER,13
2,2013,INTIMIDATION,1
2,2013,KIDNAPPING,1
2,2013,LIQUOR LAW VIOLATION,5
2,2013,MOTOR VEHICLE THEFT,135
2,2013,NARCOTICS,216
2,2013,OFFENSE INVOLVING CHILDREN,33
2,2013,OTHER OFFENSE,263
2,2013,PROSTITUTION,1
2,2013,PUBLIC PEACE VIOLATION,24
2,2013,ROBBERY,151
2,2013,SEX OFFENSE,11
2,2013,STALKING,2
2,2013,THEFT,992
2,2013,WEAPONS VIOLATION,28
2,2014,ARSON,1
2,2014,ASSAULT,204
2,2014,BATTERY,594
2,2014,BURGLARY,277
2,2014,CRIM SEXUAL ASSAULT,14
2,2014,CRIMINAL DAMAGE,440
2,2014,CRIMINAL TRESPASS,80
2,2014,DECEPTIVE PRACTICE,209
2,2014,GAMBLING,1
2,2014,HOMICIDE,3
2,2014,INTERFERENCE WITH PUBLIC OFFICER,17
2,2014,INTIMIDATION,2
2,2014,KIDNAPPING,3
2,2014,LIQUOR LAW VIOLATION,5
2,2014,MOTOR VEHICLE THEFT,137
2,2014,NARCOTICS,177
2,2014,OBSCENITY,1
2,2014,OFFENSE INVOLVING CHILDREN,34
2,2014,OTHER OFFENSE,227
2,2014,PROSTITUTION,3
2,2014,PUBLIC PEACE VIOLATION,23
2,2014,ROBBERY,113
2,2014,SEX OFFENSE,12
2,2014,STALKING,3
2,2014,THEFT,808
2,2014,WEAPONS VIOLATION,26
2,2015,ARSON,4
2,2015,ASSAULT,168
2,2015,BATTERY,553
2,2015,BURGLARY,238
2,2015,CONCEALED CARRY LICENSE VIOLATION,1
2,2015,CRIM SEXUAL ASSAULT,13
2,2015,CRIMINAL DAMAGE,434
2,2015,CRIMINAL TRESPASS,60
2,2015,DECEPTIVE PRACTICE,198
2,2015,GAMBLING,4
2,2015,HOMICIDE,4
2,2015,INTERFERENCE WITH PUBLIC OFFICER,9
2,2015,INTIMIDATION,1
2,2015,LIQUOR LAW VIOLATION,2
2,2015,MOTOR VEHICLE THEFT,123
2,2015,NARCOTICS,160
2,2015,OBSCENITY,1
2,2015,OFFENSE INVOLVING CHILDREN,37
2,2015,OTHER OFFENSE,236
2,2015,PROSTITUTION,2
2,2015,PUBLIC INDECENCY,1
2,2015,PUBLIC PEACE VIOLATION,33
2,2015,ROBBERY,91
2,2015,SEX OFFENSE,22
2,2015,THEFT,683
2,2015,WEAPONS VIOLATION,33
2,2016,ARSON,3
2,2016,ASSAULT,203
2,2016,BATTERY,553
2,2016,BURGLARY,195
2,2016,CRIM SEXUAL ASSAULT,20
2,2016,CRIMINAL DAMAGE,463
2,2016,CRIMINAL TRESPASS,81
2,2016,DECEPTIVE PRACTICE,288
2,2016,HOMICIDE,7
2,2016,INTERFERENCE WITH PUBLIC OFFICER,3
2,2016,INTIMIDATION,2
2,2016,KIDNAPPING,6
2,2016,LIQUOR LAW VIOLATION,8
2,2016,MOTOR VEHICLE THEFT,165
2,2016,NARCOTICS,89
2,2016,NON-CRIMINAL,1
2,2016,OBSCENITY,3
2,2016,OFFENSE INVOLVING CHILDREN,38
2,2016,OTHER OFFENSE,225
2,2016,PROSTITUTION,1
2,2016,PUBLIC PEACE VIOLATION,13
2,2016,ROBBERY,127
2,2016,SEX OFFENSE,23
2,2016,STALKING,2
2,2016,THEFT,734
2,2016,WEAPONS VIOLATION,34
2,2017,ARSON,1
2,2017,ASSAULT,242
2,2017,BATTERY,589
2,2017,BURGLARY,193
2,2017,CRIM SEXUAL ASSAULT,17
2,2017,CRIMINAL DAMAGE,485
2,2017,CRIMINAL TRESPASS,125
2,2017,DECEPTIVE PRACTICE,299
2,2017,GAMBLING,1
2,2017,HOMICIDE,2
2,2017,INTERFERENCE WITH PUBLIC OFFICER,4
2,2017,INTIMIDATION,2
2,2017,KIDNAPPING,4
2,2017,LIQUOR LAW VIOLATION,4
2,2017,MOTOR VEHICLE THEFT,193
2,2017,NARCOTICS,52
2,2017,OFFENSE INVOLVING CHILDREN,32
2,2017,OTHER OFFENSE,248
2,2017,PROSTITUTION,2
2,2017,PUBLIC PEACE VIOLATION,16
2,2017,ROBBERY,115
2,2017,SEX OFFENSE,25
2,2017,STALKING,3
2,2017,THEFT,915
2,2017,WEAPONS VIOLATION,23
2,2018,ARSON,6
2,2018,ASSAULT,264
2,2018,BATTERY,618
2,2018,BURGLARY,259
2,2018,CONCEALED CARRY LICENSE VIOLATION,1
2,2018,CRIM SEXUAL ASSAULT,18
2,2018,CRIMINAL DAMAGE,443
2,2018,CRIMINAL TRESPASS,78
2,2018,DECEPTIVE PRACTICE,284
2,2018,GAMBLING,2
2,2018,HOMICIDE,6
2,2018,INTERFERENCE WITH PUBLIC OFFICER,6
2,2018,INTIMIDATION,4
2,2018,KIDNAPPING,3
2,2018,LIQUOR LAW VIOLATION,11
2,2018,MOTOR VEHICLE THEFT,172
2,2018,NARCOTICS,52
2,2018,OBSCENITY,3
2,2018,OFFENSE INVOLVING CHILDREN,32
2,2018,OTHER OFFENSE,258
2,2018,PUBLIC PEACE VIOLATION,6
2,2018,ROBBERY,133
2,2018,SEX OFFENSE,13
2,2018,STALKING,3
2,2018,THEFT,811
2,2018,WEAPONS VIOLATION,32
3,2010,ARSON,2
3,2010,ASSAULT,301
3,2010,BATTERY,849
3,2010,BURGLARY,223
3,2010,CRIM SEXUAL ASSAULT,21
3,2010,CRIMINAL DAMAGE,492
3,2010,CRIMINAL TRESPASS,131
3,2010,DECEPTIVE PRACTICE,261
3,2010,GAMBLING,7
3,2010,HOMICIDE,4
3,2010,INTERFERENCE WITH PUBLIC OFFICER,17
3,2010,INTIMIDATION,3
3,2010,KIDNAPPING,2
3,2010,LIQUOR LAW VIOLATION,20
3,2010,MOTOR VEHICLE THEFT,187
3,2010,NARCOTICS,673
3,2010,NON-CRIMINAL,1
3,2010,OFFENSE INVOLVING CHILDREN,16
3,2010,OTHER OFFENSE,283
3,2010,PROSTITUTION,16
3,2010,PUBLIC PEACE VIOLATION,65
3,2010,ROBBERY,165
3,2010,SEX OFFENSE,22
3,2010,STALKING,2
3,2010,THEFT,1286
3,2010,WEAPONS VIOLATION,26
3,2011,ARSON,4
3,2011,ASSAULT,282
3,2011,BATTERY,673
3,2011,BURGLARY,227
3,2011,CRIM SEXUAL ASSAULT,35
3,2011,CRIMINAL DAMAGE,395
3,2011,CRIMINAL TRESPASS,137
3,2011,DECEPTIVE PRACTICE,268
3,2011,GAMBLING,2
3,2011,HOMICIDE,5
3,2011,INTERFERENCE WITH PUBLIC OFFICER,10
3,2011,INTIMIDATION,3
3,2011,KIDNAPPING,2
3,2011,LIQUOR LAW VIOLATION,8
3,2011,MOTOR VEHICLE THEFT,203
3,2011,NARCOTICS,697
3,2011,OFFENSE INVOLVING CHILDREN,18
3,2011,OTHER OFFENSE,285
3,2011,PROSTITUTION,7
3,2011,PUBLIC INDECENCY,1
3,2011,PUBLIC PEACE VIOLATION,44
3,2011,ROBBERY,145
3,2011,SEX OFFENSE,20
3,2011,STALKING,5
3,2011,THEFT,1268
3,2011,WEAPONS VIOLATION,33
3,2012,ARSON,4
3,2012,ASSAULT,244
3,2012,BATTERY,736
3,2012,BURGLARY,217
3,2012,CRIM SEXUAL ASSAULT,20
3,2012,CRIMINAL DAMAGE,447
3,2012,CRIMINAL TRESPASS,137
3,2012,DECEPTIVE PRACTICE,266
3,2012,GAMBLING,1
3,2012,HOMICIDE,5
3,2012,INTERFERENCE WITH PUBLIC OFFICER,10
3,2012,INTIMIDATION,3
3,2012,KIDNAPPING,2
3,2012,LIQUOR LAW VIOLATION,2
3,2012,MOTOR VEHICLE THEFT,270
3,2012,NARCOTICS,735
3,2012,OBSCENITY,3
3,2012,OFFENSE INVOLVING CHILDREN,31
3,2012,OTHER OFFENSE,245
3,2012,PROSTITUTION,7
3,2012,PUBLIC PEACE VIOLATION,27
3,2012,ROBBERY,140
3,2012,SEX OFFENSE,27
3,2012,STALKING,4
3,2012,THEFT,1350
3,2012,WEAPONS VIOLATION,44
3,2013,ARSON,1
3,2013,ASSAULT,277
3,2013,BATTERY,670
3,2013,BURGLARY,132
3,2013,CRIM SEXUAL ASSAULT,24
3,2013,CRIMINAL DAMAGE,368
3,2013,CRIMINAL TRESPASS,149
3,2013,DECEPTIVE PRACTICE,305
3,2013,GAMBLING,1
3,2013,HOMICIDE,1
3,2013,INTERFERENCE WITH PUBLIC OFFICER,12
3,2013,INTIMIDATION,1
3,2013,KIDNAPPING,1
3,2013,LIQUOR LAW VIOLATION,4
3,2013,MOTOR VEHICLE THEFT,190
3,2013,NARCOTICS,482
3,2013,OFFENSE INVOLVING CHILDREN,32
3,2013,OTHER OFFENSE,281
3,2013,PROSTITUTION,4
3,2013,PUBLIC INDECENCY,1
3,2013,PUBLIC PEACE VIOLATION,46
3,2013,ROBBERY,123
3,2013,SEX OFFENSE,19
3,2013,STALKING,1
3,2013,THEFT,1142
3,2013,WEAPONS VIOLATION,23
3,2014,ARSON,5
3,2014,ASSAULT,212
3,2014,BATTERY,613
3,2014,BURGLARY,114
3,2014,CONCEALED CARRY LICENSE VIOLATION,1
3,2014,CRIM SEXUAL ASSAULT,23
3,2014,CRIMINAL DAMAGE,330
3,2014,CRIMINAL TRESPASS,180
3,2014,DECEPTIVE PRACTICE,272
3,2014,HOMICIDE,5
3,2014,INTERFERENCE WITH PUBLIC OFFICER,14
3,2014,INTIMIDATION,1
3,2014,LIQUOR LAW VIOLATION,1
3,2014,MOTOR VEHICLE THEFT,105
3,2014,NARCOTICS,524
3,2014,NON-CRIMINAL,1
3,2014,OFFENSE INVOLVING CHILDREN,22
3,2014,OTHER NARCOTIC VIOLATION,1
3,2014,OTHER OFFENSE,240
3,2014,PROSTITUTION,2
3,2014,PUBLIC PEACE VIOLATION,31
3,2014,ROBBERY,105
3,2014,SEX OFFENSE,23
3,2014,THEFT,969
3,2014,WEAPONS VIOLATION,21
3,2015,ARSON,2
3,2015,ASSAULT,236
3,2015,BATTERY,674
3,2015,BURGLARY,119
3,2015,CRIM SEXUAL ASSAULT,30
3,2015,CRIMINAL DAMAGE,325
3,2015,CRIMINAL TRESPASS,143
3,2015,DECEPTIVE PRACTICE,331
3,2015,GAMBLING,2
3,2015,HOMICIDE,13
3,2015,INTERFERENCE WITH PUBLIC OFFICER,10
3,2015,INTIMIDATION,2
3,2015,KIDNAPPING,2
3,2015,LIQUOR LAW VIOLATION,3
3,2015,MOTOR VEHICLE THEFT,155
3,2015,NARCOTICS,286
3,2015,OFFENSE INVOLVING CHILDREN,35
3,2015,OTHER OFFENSE,223
3,2015,PROSTITUTION,2
3,2015,PUBLIC PEACE VIOLATION,31
3,2015,ROBBERY,115
3,2015,SEX OFFENSE,17
3,2015,THEFT,886
3,2015,WEAPONS VIOLATION,21
3,2016,ARSON,2
3,2016,ASSAULT,252
3,2016,BATTERY,679
3,2016,BURGLARY,136
3,2016,CRIM SEXUAL ASSAULT,27
3,2016,CRIMINAL DAMAGE,306
3,2016,CRIMINAL TRESPASS,125
3,2016,DECEPTIVE PRACTICE,357
3,2016,GAMBLING,1
3,2016,HOMICIDE,8
3,2016,INTERFERENCE WITH PUBLIC OFFICER,2
3,2016,KIDNAPPING,1
3,2016,LIQUOR LAW VIOLATION,2
3,2016,MOTOR VEHICLE THEFT,108
3,2016,NARCOTICS,116
3,2016,NON-CRIMINAL,3
3,2016,OBSCENITY,1
3,2016,OFFENSE INVOLVING CHILDREN,24
3,2016,OTHER OFFENSE,189
3,2016,PUBLIC PEACE VIOLATION,23
3,2016,ROBBERY,144
3,2016,SEX OFFENSE,20
3,2016,STALKING,1
3,2016,THEFT,1015
3,2016,WEAPONS VIOLATION,25
3,2017,ARSON,1
3,2017,ASSAULT,275
3,2017,BATTERY,663
3,2017,BURGLARY,160
3,2017,CRIM SEXUAL ASSAULT,48
3,2017,CRIMINAL DAMAGE,318
3,2017,CRIMINAL TRESPASS,118
3,2017,DECEPTIVE PRACTICE,400
3,2017,HOMICIDE,5
3,2017,INTERFERENCE WITH PUBLIC OFFICER,12
3,2017,INTIMIDATION,3
3,2017,KIDNAPPING,1
3,2017,LIQUOR LAW VIOLATION,3
3,2017,MOTOR VEHICLE THEFT,106
3,2017,NARCOTICS,70
3,2017,OFFENSE INVOLVING CHILDREN,21
3,2017,OTHER OFFENSE,210
3,2017,PROSTITUTION,1
3,2017,PUBLIC PEACE VIOLATION,31
3,2017,ROBBERY,103
3,2017,SEX OFFENSE,26
3,2017,STALKING,1
3,2017,THEFT,968
3,2017,WEAPONS VIOLATION,23
3,2018,ARSON,3
3,2018,ASSAULT,257
3,2018,BATTERY,714
3,2018,BURGLARY,175
3,2018,CRIM SEXUAL ASSAULT,41
3,2018,CRIMINAL DAMAGE,302
3,2018,CRIMINAL TRESPASS,136
3,2018,DECEPTIVE PRACTICE,389
3,2018,GAMBLING,1
3,2018,HOMICIDE,2
3,2018,INTERFERENCE WITH PUBLIC OFFICER,14
3,2018,INTIMIDATION,3
3,2018,KIDNAPPING,1
3,2018,MOTOR VEHICLE THEFT,123
3,2018,NARCOTICS,67
3,2018,OBSCENITY,2
3,2018,OFFENSE INVOLVING CHILDREN,26
3,2018,OTHER OFFENSE,212
3,2018,PUBLIC PEACE VIOLATION,19
3,2018,ROBBERY,106
3,2018,SEX OFFENSE,24
3,2018,STALKING,1
3,2018,THEFT,986
3,2018,WEAPONS VIOLATION,27
4,2010,ARSON,1
4,2010,ASSAULT,120
4,2010,BATTERY,346
4,2010,BURGLARY,197
4,2010,CRIM SEXUAL ASSAULT,11
4,2010,CRIMINAL DAMAGE,370
4,2010,CRIMINAL TRESPASS,50
4,2010,DECEPTIVE PRACTICE,105
4,2010,GAMBLING,1
4,2010,INTERFERENCE WITH PUBLIC OFFICER,2
4,2010,INTIMIDATION,3
4,2010,KIDNAPPING,1
4,2010,LIQUOR LAW VIOLATION,13
4,2010,MOTOR VEHICLE THEFT,145
4,2010,NARCOTICS,157
4,2010,OFFENSE INVOLVING CHILDREN,12
4,2010,OTHER OFFENSE,160
4,2010,PROSTITUTION,9
4,2010,PUBLIC INDECENCY,1
4,2010,PUBLIC PEACE VIOLATION,40
4,2010,ROBBERY,56
4,2010,SEX OFFENSE,13
4,2010,STALKING,4
4,2010,THEFT,731
4,2010,WEAPONS VIOLATION,12
4,2011,ARSON,1
4,2011,ASSAULT,100
4,2011,BATTERY,316
4,2011,BURGLARY,173
4,2011,CRIM SEXUAL ASSAULT,12
4,2011,CRIMINAL DAMAGE,298
4,2011,CRIMINAL TRESPASS,52
4,2011,DECEPTIVE PRACTICE,104
4,2011,GAMBLING,1
4,2011,HOMICIDE,1
4,2011,INTERFERENCE WITH PUBLIC OFFICER,4
4,2011,INTIMIDATION,2
4,2011,KIDNAPPING,4
4,2011,LIQUOR LAW VIOLATION,9
4,2011,MOTOR VEHICLE THEFT,143
4,2011,NARCOTICS,153
4,2011,OFFENSE INVOLVING CHILDREN,4
4,2011,OTHER OFFENSE,172
4,2011,PROSTITUTION,3
4,2011,PUBLIC PEACE VIOLATION,24
4,2011,ROBBERY,43
4,2011,SEX OFFENSE,13
4,2011,STALKING,1
4,2011,THEFT,673
4,2011,WEAPONS VIOLATION,9
4,2012,ARSON,1
4,2012,ASSAULT,124
4,2012,BATTERY,354
4,2012,BURGLARY,214
4,2012,CRIM SEXUAL ASSAULT,8
4,2012,CRIMINAL DAMAGE,282
4,2012,CRIMINAL TRESPASS,49
4,2012,DECEPTIVE PRACTICE,97
4,2012,GAMBLING,1
4,2012,INTERFERENCE WITH PUBLIC OFFICER,5
4,2012,INTIMIDATION,1
4,2012,KIDNAPPING,2
4,2012,LIQUOR LAW VIOLATION,9
4,2012,MOTOR VEHICLE THEFT,143
4,2012,NARCOTICS,111
4,2012,OFFENSE INVOLVING CHILDREN,11
4,2012,OTHER OFFENSE,131
4,2012,PROSTITUTION,1
4,2012,PUBLIC PEACE VIOLATION,15
4,2012,ROBBERY,54
4,2012,SEX OFFENSE,11
4,2012,STALKING,1
4,2012,THEFT,703
4,2012,WEAPONS VIOLATION,11
4,2013,ASSAULT,111
4,2013,BATTERY,354
4,2013,BURGLARY,167
4,2013,CRIM SEXUAL ASSAULT,6
4,2013,CRIMINAL DAMAGE,306
4,2013,CRIMINAL TRESPASS,49
4,2013,DECEPTIVE PRACTICE,111
4,2013,GAMBLING,1
4,2013,HOMICIDE,2
4,2013,INTERFERENCE WITH PUBLIC OFFICER,5
4,2013,KIDNAPPING,3
